Zeit_Messung (sec);R (Ohm)

0,00;373,03
0,11;373,03
0,23;373,02
0,36;373,02
0,48;373,02
0,61;373,02
0,73;373,03
0,86;373,02
0,98;373,03
1,11;373,02
1,23;373,02
1,36;373,02
1,48;373,02
1,61;373,01
1,73;373,01
1,86;373,01
1,98;373,01
2,11;373,02
2,23;373,03
2,36;373,04
2,48;373,05
2,61;373,07
2,73;373,09
2,86;373,12
2,98;373,15
3,11;373,18
3,23;373,23
3,36;373,27
3,48;373,32
3,61;373,37
3,73;373,42
3,86;373,46
3,98;373,51
4,11;373,55
4,23;373,59
4,36;373,63
4,48;373,66
4,61;373,68
4,73;373,69
4,86;373,70
4,98;373,70
5,11;373,71
5,23;373,70
5,36;373,69
5,48;373,68
5,61;373,67
5,77;373,66
5,86;373,65
5,98;373,64
6,11;373,63
6,23;373,62
6,36;373,61
6,48;373,59
6,61;373,58
6,74;373,57
6,86;373,57
6,98;373,56
7,11;373,55
7,23;373,54
7,36;373,53
7,48;373,53
7,61;373,53
7,73;373,52
7,86;373,51
7,98;373,50
8,11;373,50
8,23;373,50
8,36;373,49
8,48;373,48
8,61;373,48
8,73;373,48
8,86;373,47
8,98;373,47
9,11;373,46
9,23;373,45
9,36;373,45
9,48;373,44
9,61;373,44
9,73;373,44
9,86;373,44
9,98;373,43
10,11;373,42
10,23;373,43
10,36;373,42
10,48;373,41
10,61;373,42
10,73;373,41
10,86;373,40
10,98;373,40
11,11;373,40
11,23;373,40
11,36;373,39
11,48;373,39
11,61;373,39
11,73;373,39
11,86;373,38
11,98;373,39
12,11;373,39
12,23;373,39
12,36;373,39
12,48;373,38
12,61;373,39
12,73;373,38
12,86;373,37
12,98;373,37
13,11;373,36
13,23;373,37
13,36;373,36
13,48;373,36
13,61;373,36
13,73;373,36
13,86;373,35
13,98;373,35
14,11;373,35
14,23;373,35
14,36;373,35
14,48;373,35
14,61;373,34
14,73;373,34
14,86;373,34
14,98;373,34
15,11;373,33
15,23;373,34
15,36;373,32
15,48;373,33
15,61;373,32
15,73;373,32
15,86;373,32
15,98;373,32
16,11;373,31
16,23;373,31
16,36;373,30
16,48;373,31
16,61;373,31
16,73;373,30
16,86;373,30
16,98;373,30
17,11;373,30
17,23;373,30
17,36;373,30
17,48;373,29
17,61;373,29
17,73;373,29
17,86;373,28
17,98;373,28
18,11;373,28
18,23;373,28
18,36;373,28
18,48;373,28
18,61;373,27
18,73;373,27
18,86;373,27
18,98;373,27
19,11;373,26
19,23;373,26
19,36;373,26
19,48;373,26
19,61;373,26
19,73;373,25
19,86;373,26
19,98;373,25
20,11;373,25
20,23;373,25
20,36;373,25
20,48;373,26
20,61;373,25
20,73;373,25
20,90;373,24
20,98;373,24
21,11;373,24
21,23;373,24
21,36;373,24
21,48;373,24
21,61;373,24
21,73;373,24
21,86;373,23
21,98;373,23
22,11;373,23
22,23;373,22
22,36;373,23
22,48;373,24
22,61;373,23
22,73;373,23
22,86;373,23
22,98;373,23
23,11;373,23
23,23;373,23
23,36;373,23
23,48;373,23
23,61;373,22
23,73;373,23
23,86;373,23
23,98;373,23
24,11;373,23
24,23;373,22
24,36;373,23
24,48;373,22
24,61;373,22
24,73;373,22
24,86;373,21
24,98;373,21
25,11;373,21
25,23;373,21
25,36;373,21
25,48;373,20
25,61;373,21
25,73;373,20
25,86;373,20
25,98;373,20
26,11;373,20
26,23;373,21
26,36;373,20
26,48;373,19
26,61;373,19
26,73;373,20
26,86;373,19
26,98;373,19
27,11;373,19
27,23;373,19
27,36;373,19
27,48;373,19
27,61;373,19
27,73;373,19
27,86;373,19
27,98;373,18
28,11;373,18
28,23;373,18
28,36;373,17
28,48;373,18
28,61;373,17
28,73;373,17
28,86;373,18
28,98;373,18
29,11;373,17
29,23;373,17
29,36;373,17
29,48;373,17
29,61;373,16
29,73;373,17
29,86;373,16
29,98;373,17
30,11;373,16
30,23;373,16
30,36;373,16
30,48;373,16
30,61;373,16
30,73;373,16
30,86;373,15
30,98;373,15
31,11;373,15
31,23;373,15
31,36;373,16
31,48;373,15
31,61;373,15
31,73;373,15
31,86;373,15
31,98;373,15
32,11;373,15
32,23;373,15
32,36;373,14
32,48;373,14
32,61;373,14
32,73;373,14
32,86;373,14
32,98;373,14
33,11;373,14
33,23;373,14
33,36;373,13
33,48;373,13
33,61;373,12
33,73;373,13
33,86;373,13
33,98;373,13
34,11;373,13
34,23;373,13
34,36;373,13
34,48;373,14
34,61;373,13
34,73;373,13
34,86;373,13
34,98;373,13
35,11;373,13
35,23;373,13
35,36;373,12
35,48;373,12
35,61;373,11
35,73;373,12
35,86;373,12
36,02;373,12
36,11;373,12
36,23;373,11
36,36;373,12
36,48;373,11
36,61;373,11
36,73;373,11
36,86;373,11
36,98;373,11
37,11;373,11
37,23;373,11
37,36;373,11
37,48;373,11
37,61;373,11
37,73;373,11
37,86;373,11
37,98;373,10
38,11;373,11
38,23;373,10
38,36;373,11
38,48;373,11
38,61;373,10
38,73;373,09
38,86;373,10
38,98;373,10
39,11;373,10
39,23;373,10
39,36;373,09
39,48;373,10
39,61;373,10
39,73;373,10
39,86;373,09
39,98;373,09
40,11;373,10
40,23;373,10
40,36;373,09
40,48;373,10
40,61;373,09
40,73;373,09
40,86;373,09
40,98;373,09
41,11;373,10
41,23;373,09
41,36;373,08
41,48;373,09
41,61;373,09
41,73;373,09
41,86;373,08
41,98;373,09
42,11;373,09
42,23;373,09
42,36;373,08
42,48;373,09
42,61;373,09
42,73;373,08
42,86;373,08
42,98;373,08
43,11;373,08
43,23;373,08
43,36;373,08
43,48;373,08
43,61;373,08
43,73;373,08
43,86;373,08
43,98;373,08
44,11;373,08
44,23;373,07
44,36;373,09
44,48;373,08
44,61;373,08
44,73;373,08
44,86;373,08
44,98;373,08
45,11;373,08
45,23;373,08
45,36;373,07
45,48;373,07
45,61;373,07
45,73;373,07
45,86;373,07
45,98;373,07
46,11;373,07
46,23;373,06
46,36;373,07
46,48;373,07
46,61;373,07
46,73;373,07
46,86;373,06
46,98;373,06
47,11;373,06
47,23;373,07
47,36;373,06
47,48;373,06
47,61;373,05
47,73;373,06
47,86;373,06
47,98;373,05
48,11;373,06
48,23;373,06
